algorithm,workload,thread_count,write_ratio,runs,committed_tx_per_sec_mean,abort_rate_mean,retry_per_commit_mean,lock_fail_count_mean,validation_fail_count_mean,latency_us_p50_mean,tx_latency_us_p50_mean,tx_latency_us_p95_mean,tx_latency_us_p99_mean,committed_tx_latency_us_p50_mean,committed_tx_latency_us_p95_mean,committed_tx_latency_us_p99_mean,latency_sample_count_mean,hot_path_ratio_mean,server_queue_wait_us_p50_mean,server_queue_wait_us_p95_mean,server_queue_wait_us_p99_mean,queue_length_p95_mean,service_time_us_p95_mean
backoff_occ,mixed_uniform_write20,1,0.0,3,803664.5666666667,0.0,0.0,0,0,0.76,0.0,2.0,2.0,0.0,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,mixed_uniform_write20,2,0.0,3,840653.7333333333,0.0,0.0,0,359,0.8200000000000001,0.0,2.3333333333333335,2.6666666666666665,0.0,2.3333333333333335,2.6666666666666665,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,mixed_uniform_write20,4,0.0,3,751730.8333333334,0.0,0.0,0,5869.666666666667,2.11,0.0,2.6666666666666665,38.666666666666664,0.0,2.6666666666666665,38.666666666666664,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,ticket_booking_hot_event,1,0.0,3,409426.93333333335,0.0,0.0,0,0,1.95,2.0,2.0,2.3333333333333335,2.0,2.0,2.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,ticket_booking_hot_event,2,0.0,3,414826.76666666666,0.0,0.0,0,835.3333333333334,2.0666666666666664,2.0,2.0,2.3333333333333335,2.0,2.0,2.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,ticket_booking_hot_event,4,0.0,3,396585.0333333333,0.0,0.0,0,3841.3333333333335,2.2666666666666666,2.0,2.0,2.0,2.0,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,zipf99_write100,1,0.0,3,175336.83333333334,0.0,0.0,0,0,2.5166666666666666,2.0,2.0,3.0,2.0,2.0,3.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,zipf99_write100,2,0.0,3,182510.36666666667,0.0,0.0,0,975.3333333333334,2.6866666666666665,2.0,2.3333333333333335,65.33333333333333,2.0,2.3333333333333335,65.33333333333333,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,zipf99_write100,4,0.0,3,177701.53333333333,0.0,0.0,0,3277,3.1366666666666667,2.0,2.0,3.0,2.0,2.0,3.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,ad_budget_read_heavy_dashboard,1,0.0,3,1045152.8,0.0,0.0,0,0,0.5033333333333333,0.0,2.0,2.0,0.0,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,ad_budget_read_heavy_dashboard,2,0.0,3,808061.8333333333,0.0,0.0,0,7462.333333333333,1.3933333333333333,0.0,2.0,3.6666666666666665,0.0,2.0,3.6666666666666665,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,ad_budget_read_heavy_dashboard,4,0.0,3,642761.4333333333,0.0,0.0,0,28015.333333333332,2.91,0.0,2.6666666666666665,123.66666666666667,0.0,2.6666666666666665,123.66666666666667,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,flash_sale_spike,1,0.0,3,347867.43333333335,0.0,0.0,0,0,2.3633333333333333,2.0,2.0,2.3333333333333335,2.0,2.0,2.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,flash_sale_spike,2,0.0,3,237279.96666666667,0.01,0.01,0,15973,4.0633333333333335,2.0,3.3333333333333335,209.33333333333334,2.0,3.3333333333333335,209.33333333333334,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,flash_sale_spike,4,0.0,3,173036.5,0.02,0.02,0,37307.333333333336,6.8533333333333335,2.0,4.0,510.0,2.0,4.0,510.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,high_hot16_write100,1,0.0,3,335799.06666666665,0.0,0.0,0,0,2.45,2.0,2.0,2.3333333333333335,2.0,2.0,2.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,high_hot16_write100,2,0.0,3,245364.53333333333,0.01,0.01,0,16567.333333333332,4.573333333333333,2.0,3.3333333333333335,180.0,2.0,3.3333333333333335,180.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
