algorithm,workload,thread_count,write_ratio,runs,committed_tx_per_sec_mean,abort_rate_mean,retry_per_commit_mean,lock_fail_count_mean,validation_fail_count_mean,latency_us_p50_mean,tx_latency_us_p50_mean,tx_latency_us_p95_mean,tx_latency_us_p99_mean,committed_tx_latency_us_p50_mean,committed_tx_latency_us_p95_mean,committed_tx_latency_us_p99_mean,latency_sample_count_mean,hot_path_ratio_mean,server_queue_wait_us_p50_mean,server_queue_wait_us_p95_mean,server_queue_wait_us_p99_mean,queue_length_p95_mean,service_time_us_p95_mean
baseline_occ,mixed_hot4_write50,1,0.0,1,543062.0,0.0,0.0,0,0,1.34,0.0,2.0,2.0,0.0,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_adaptive_arbitration_occ_per_shard_8,mixed_hot4_write50,1,0.0,1,442362.0,0.0,0.0,0,0,1.51,0.0,2.0,2.0,0.0,2.0,2.0,10000,0.0,0.0,1.0,1.0,0.0,1.0
